 COMMON DATA ,,,,,,,,,,,,,,,SPECIFIC DATA,,,,,,,,,,,,Reminder Recalibration,,,TOTAL
,,,,,,,,,,,,,,,,,,,,,,,,,,,Analog,2,year,730
,,,,,,,,,,,,,,,,No,Jenis UTM,CMC (pH),,,,,,,,,Digital,1,year,365
,,,,,,,,,,,,,,,,,,,,,,,,,,,,365,,
,,,,,,,,,,,,,,,,1,4 pH,0.023,,,,,,,,,,,,
,,,,,,,,,,,,,,,,2,7 pH,0.021,,,,,,,,,,,,
,,,,,,,,,,,,,,,,3,10 pH,0.031,,,,,,,,,,,,
No,Pelaksana Kalibrasi,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,
1,NR,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,
2,DT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,JO,,,,,,,,,,,,,,,,,,,,,Now Date :,2026-07-17 14:53:17.170000,,,,,,,
4,CA,,,,,,,,,,,,,,,No,Standart Meter/Indikator,Merk/Type,S/N,Traceability,U95% (µS/cm),Calibration Date,Interval (tahun),Due Date,Status,,,,,
5,DR,,,,,,,,,,,,,,,1,pH Buffer Solution 4,Supelco/Merck,HC32513535,Merck KGaA,0.02,2023-07-20 00:00:00,3,2026-07-31 00:00:00,13.379662384257244,,,,,
6,NS,,,,,,,,,,,,,,,2,pH Buffer Solution 7,Supelco/Merck,HC46341939,Merck KGaA,0.02,2024-12-17 00:00:00,3,2027-12-17 00:00:00,517.3796623842572,,,,,
7,AJ,,,,,,,,,,,,,,,3,pH Buffer Solution 10,Supelco/Merck,HC45400338,Merck KGaA,0.03,2024-08-07 00:00:00,3,2027-07-31 00:00:00,378.37966238425724,,,,,
,,,,,,,,,,,,,,,,4,Termometer & Sensor Std.,Yokogawa/CA 150 Handy Cal,23P1005,LK-285-IDN,0.72,2025-08-12 00:00:00,1,2026-08-12 00:00:00,25.379662384257244,Yokogawa,,,,
No,Dihitung Oleh,,,,,,,,,,,,,,,,,PT100/SH1,20,LK-070-IDN,0.06,2025-02-14 00:00:00,2,2027-02-14 00:00:00,211.37966238425724,pt100,,,,
1,AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,NR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,DR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
