,FORM VALIDASI MASTER OLAH DATA KALIBRASI,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,Lingkup Kalibrasi                   :,,Instrumen Analisa,,,,,,,,,,,,,,,,,,,,
,Jenis/Type Pengukuran       :,,pH Meter,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,No.,Master Name,Last Modified Date,Detail Modified,PIC,,CHECK,,VALIDATION,,Notes/Revision,,,,,,,,,,,,
,1,Master Olah Data_pH,2022-06-20 00:00:00,"- Creating All Sheets
",HN,,NR,,,,- Update Standar baru pH 4 dan 7,,,,,,,,,,,,
,,,,,Position :,,Position :,Supervisor,Position :,,,,,,,,,,,,,,
,,,,,Date:,2022-06-20 00:00:00,Date:,2022-06-24 00:00:00,Date:,,,,,,,,,,,,,,
,2,Master Olah Data_pH,2022-08-24 00:00:00,"-Updating pH standar 4 dan 7 on ""Database"" and ""Nilai Koefisien Sensitifitas"" sheet.",HN,,NR,,,,- Update Standar baru pH 10,,,,,,,,,,,,
,,,,,Position :,,Position :,Supervisor,Position :,,,,,,,,,,,,,,
,,,,,Date:,2022-08-24 00:00:00,Date:,2022-09-14 00:00:00,Date:,,,,,,,,,,,,,,
,3,Master Olah Data_pH,2022-09-14 00:00:00,"-Updating pH standar 10 on ""Database"" and ""Nilai Koefisien Sensitifitas"" sheet.",HN,,NR,,,,"Update IK order number based on DID on database, adding TH-3 s/d 7,
update PT100",,,,,,,,,,,,
,,,,,Position :,,Position :,Supervisor,Position :,,,,,,,,,,,,,,
,,,,,Date:,2022-09-14 00:00:00,Date:,2022-09-14 00:00:00,Date:,,,,,,,,,,,,,,
,4,Master Olah Data_pH,2022-10-24 00:00:00,"-Updating ""Database"" sheet: IK order number based on DID, adding TH-3 s/d 7
-Updating TH calculation on ""Perhitungan FC"" sheet.",HN,,NR,,,,Update latest survaylen 2022 revision result,,,,,,,,,,,,
,,,,,Position :,,Position :,Supervisor,Position :,,,,,,,,,,,,,,
,,,,,Date:,2022-10-24 00:00:00,Date:,2022-10-25 00:00:00,Date:,,,,,,,,,,,,,,
,5,Master Olah Data_pH,2023-05-04 00:00:00,"-Remove lokasi kalibrasi table on ""Database"" sheet
-Adding DR on pelaksana kalibrasi on ""Database"" sheet
-Changing jabatan according to latest SO on ""Database"" sheet
-Updating IK on ""Database"" sheet
-Adding ""- Calibration results are not to be announced and only apply to related tools -"" statement on ""Sertifikat"" sheet
-Adding calibrator status monitoring on ""Input Data"" sheets",HN,,NR,,,,"Nilai U95% pengaruh perbedaan suhu ""0.01"" referensi dari mana?",,,,,,,,,,,,
,,,,,Position :,,Position :,Supervisor,Position :,,,,,,,,,,,,,,
,,,,,Date:,2023-05-04 00:00:00,Date:,2023-05-08 00:00:00,Date:,,,,,,,,,,,,,,
