PT. SIDIK,,,"KALIBRASI
pH METER",,,,,,,,,,,,LK-285-IDN,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Calibrator Standard Status Monitoring :,,,,,,,,,,ONE OR MORE STANDARD EXPIRED,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Certificate Number,,,:,012-CAL-524,,,,,,,
,,,,,,,,,,,,Order Number,,,:,2405.13.A,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,, 
,IDENTITAS ALAT,,,,,,,,,,IDENTITAS CUSTOMER,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,Nama Alat,,:,pH Meter,,,,,,,Nama Custromer,,:,PT TIRTA GRACIA SEMESTA MANDIRI,,,,,,,,,
,Merk,,:,Mettler Toledo,,,,,,,,,,,,,,,,,,,
,Type,,:,Five Easy,,,,,,,Alamat Customer,,:,"Jl. Arteri Primer A-10 RT. 01 RW.12 Nyalindung Kec. Cicalengka, Kab. Bandung, Jawa Barat",,,,,,,,,
,No. Seri,,:,B628755900,,,,,,,,,,,,,,,,,,,
,Rentang Ukur,,:,0-14,,,,pH,,,,,,,,,,,DON'T ERASE ! THIS DATA ARE FOR CALCULATION ,,,,
,Kapasitas Max.,,:,14,,,,pH,,,Tanggal Terima ,,:,2024-05-26 00:00:00,,,,,Thermohygro used,,:,TH-3,
,Resolusi Alat,,:,0.01,,,,pH,,,Tanggal Kalibrasi,,:,2024-05-26 00:00:00,,,,,,,,,
,,,,,,,,,,,,,,,,,,,Teknisi,,:,DR,
,KONDISI LINGKUNGAN,,,,,,,,,PENGERJAAN,,,,,,,,,Metode Kalibrasi,,:,pH Meter,
,,,,,,,,,,,,,,,,,,,pH 4,,:,True,pH Buffer Solution 4
,,,,Awal,Akhir,,Average,,,,Lokasi Kalibrasi,,:,Lab. Uji A,,,,,pH 7,,:,True,pH Buffer Solution 7
,Suhu Ruangan,,:,21.3,21.5,,21.4,oC,,,Technician ID,,:,5,,,,,pH 10,,:,True,pH Buffer Solution 10
,Kelembaban,,:,53,56,,54.5,%RH,,,Calibration Method,,:,6,,,,,thermo&sensor,,:,True,Termometer & Sensor Std.
,Thermohygro Used,,:,3,,,,,,,Standar Used,,:,,,,WARNING,,Penandatangan,,:,Alex Misramto,
,,,,,,,,,,,,,,,,,VALID,,Posisi,,:,Technical Manager,
,,,,,,,,,,,,,,,,,VALID,,Dihitung oleh,,:,DR,
,,,,,,,,,,,,,,,,,WARNING,,Status kalibrator PH4,,:,13.379662384257244,
DATA HASIL KALIBRASI,,,,,,,,,,,,,,,,,,,Status kalibrator PH7,,:,517.3796623842572,
,,,,,,,,,,,,,,,,,,,Statu kalibrator PH10,,:,378.37966238425724,
,,,,,,,,,,,,,,,,,,,Status Kalibrator Temp. Constant,,:,25.379662384257244,
,,,Standard,,,Before Adjustment Reading,,,,,,,,,,,,,Statuskalibrator sensor PT100,,:,211.37966238425724,
,,,,,,3.99,pH,7,pH,10.01,pH,,,,,,,,,,,,
,,,Repeat,,,pH,oC,pH,oC,pH,oC,,,,,,,,,,,,
,,,1,,,4.04,22.2,7.02,22.3,9.61,22.2,,,,,,,,,,,,
,,,2,,,4.04,22.2,7.04,22.3,9.94,22.2,,,,,,,,,,,,
,,,3,,,4.04,22.2,7.05,22.3,9.66,22.2,,,,,,,,,,,,
,,,4,,,5,22.2,7.02,22.3,9.61,22.2,,,,,,,,,,,,
,,,5,,,4.04,22.2,7.02,22.3,9.61,22.2,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,Standard,,,After Adjustment Reading,,,,,,,,,,,,,,,,,
,,,,,,3.99,pH,7,pH,10.01,pH,,,,,,,,,,,,
,,,Repeat,,,pH,oC,pH,oC,pH,oC,,,,,,,,,,,,
,,,1,,,4,22.2,7.01,22.2,10.11,22.1,,,,,,,,,,,,
,,,2,,,4,22.2,7.01,22.2,10.11,22.1,,,,,,,,,,,,
,,,3,,,4,22.1,7,22.2,10.11,22.1,,,,,,,,,,,,
,,,4,,,4,22.2,7,22.2,10.11,22.1,,,,,,,,,,,,
,,,5,,,4,22.2,7,22.2,10.11,22.1,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,Issuance Date  :,,2024-05-30 00:00:00,,,,,,,,,,,,,,,,,,,,
,Calculated by,,,Signed by,,,,,,,,,,,,,,,,,,,
,Name:,3,,Name:,2,2,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
