Tabel pengaruh suhu terhadap nilai pH (Sertifikat),,,,,,,,,,,,,,
Temp.(°C),DpH 10.01 Buffer,DpH 7.00 Buffer,DpH 4.01 Buffer,Y PH 4,PH 7,"PH 10,01",,,,,,,,
0,0.26,0.13,0.05,4.05,7.13,10.27,,,,,,,,
5,0.17,0.07,0.04,4.04,7.07,10.18,,,,,,,,
10,0.11,0.05,0.02,4.02,7.05,10.12,,,,,,,,
15,0.05,0.02,0.01,4.01,7.02,10.06,,,,,,,,
20,0,0,0,4,7,10.01,,,,,,,,
25,-0.06,-0.02,0.01,4.01,6.98,9.95,,,,,,,,
30,-0.11,-0.02,0.01,4.01,6.98,9.9,,,,,,,,
35,-0.16,-0.04,0.01,4.01,6.96,9.85,,,,,,,,
40,-0.18,-0.05,0.01,4.01,6.95,9.83,,,,,,,,
50,-0.26,-0.05,0,4,6.95,9.75,,,,,,,,
Expired Date:,2027-07-31 00:00:00,2027-12-17 00:00:00,2026-07-31 00:00:00,,,,,,,,,,,
,,,,,,,,,,,,,,
"Dari keterangan kurva diatas, maka penentuan nilai koefisien sensitifitas adalah :",,,,,,,,,,,,,,
"Tabel pengaruh suhu terhadap nilai pHconductivity berdasarkan rumus linieritas berikut : y = 3E-05x2 - 0,0023x + 4,0455
",,,,,,,,,,,,,,
Temp.(°C),pH 4.01 Buffer,C = Δy,,,,,,,,,,,,
20,4.0115,0.0010700000000003485,,,C,Nilai koefisien sensitivitas,,,,,,,,
21,4.0104299999999995,0.0010099999999999554,,,Δy,selisih nilai conductivity dari 2 kondisi temperature,,,,,,,,
22,4.0094199999999995,0.0009499999999995623,,,x,Temperature larutan standar,,,,,,,,
23,4.00847,0.0008900000000000574,,,,,,,,,,,,
24,4.00758,0.0008300000000005525,,,,,,,,,,,,
25,4.006749999999999,0.0007700000000001594,,,,,,,,,,,,
26,4.005979999999999,0.0007099999999997664,,,,,,,,,,,,
27,4.005269999999999,0.0006499999999993733,,,,,,,,,,,,
28,4.00462,0.0005900000000007566,,,,,,,,,,,,
29,4.004029999999999,0.0005299999999994753,,,,,,,,,,,,
30,4.0035,0.0005299999999994753,,,,,,,,,,,,
"Tabel pengaruh suhu terhadap nilai pHconductivity berdasarkan rumus linieritas berikut : y = 8E-05x2 - 0,0076x + 7,1182
",,,,,,,,,,,,,,
Temp.(°C),pH 7.00 Buffer,C = Δy,,,,,,,,,,,,
20,6.9982,0.0043199999999998795,,,C,Nilai koefisien sensitivitas,,,,,,,,
21,6.99388,0.0041599999999997195,,,Δy,selisih nilai conductivity dari 2 kondisi temperature,,,,,,,,
22,6.98972,0.004000000000000448,,,x,Temperature larutan standar,,,,,,,,
23,6.98572,0.0038399999999993994,,,,,,,,,,,,
24,6.98188,0.0036800000000001276,,,,,,,,,,,,
25,6.9782,0.0035199999999999676,,,,,,,,,,,,
26,6.97468,0.0033600000000006958,,,,,,,,,,,,
27,6.9713199999999995,0.0031999999999996476,,,,,,,,,,,,
28,6.96812,0.0030400000000003757,,,,,,,,,,,,
29,6.9650799999999995,0.0028799999999993275,,,,,,,,,,,,
30,6.9622,0.0028799999999993275,,,,,,,,,,,,
"Tabel pengaruh suhu terhadap nilai pHconductivity berdasarkan rumus linieritas berikut : y = 9E-05x2 - 0,0148x + 10,262
",,,,,,,,,,,,,,
Temp.(°C),pH 10.01 Buffer,C = Δy,,,,,,,,,,,,
20,10.002,0.011110000000000397,,,C,Nilai koefisien sensitivitas,,,,,,,,
21,9.99089,0.010930000000000106,,,Δy,selisih nilai conductivity dari 2 kondisi temperature,,,,,,,,
22,9.97996,0.010749999999999815,,,x,Temperature larutan standar,,,,,,,,
23,9.96921,0.010569999999999524,,,,,,,,,,,,
24,9.95864,0.01039000000000101,,,,,,,,,,,,
25,9.94825,0.010209999999998942,,,,,,,,,,,,
26,9.93804,0.010030000000000427,,,,,,,,,,,,
27,9.92801,0.009850000000000136,,,,,,,,,,,,
28,9.91816,0.009669999999999845,,,,,,,,,,,,
29,9.90849,0.009489999999999554,,,,,,,,,,,,
30,9.899000000000001,0.009489999999999554,,,,,,,,,,,,
